Year,Series,Sex,Units,Value
2010,1. Coverage of essential health services,,Index,78.0
2011,1. Coverage of essential health services,,Index,79.0
2012,1. Coverage of essential health services,,Index,80.0
2013,1. Coverage of essential health services,,Index,81.0
2014,1. Coverage of essential health services,,Index,81.0
2015,1. Coverage of essential health services,,Index,82.0
2016,1. Coverage of essential health services,,Index,82.0
2017,1. Coverage of essential health services,,Index,82.0
2018,1. Coverage of essential health services,,Index,80.0
2019,1. Coverage of essential health services,,Index,81.0
2020,1. Coverage of essential health services,,Index,81.0
2021,1. Coverage of essential health services,,Index,82.0
2022,1. Coverage of essential health services,,Index,82.0
2023,1. Coverage of essential health services,,Index,82.0
2012,2. Life expectancy at birth by sex,Both Sexes,Years,80.9
2013,2. Life expectancy at birth by sex,Both Sexes,Years,81.8
2014,2. Life expectancy at birth by sex,Both Sexes,Years,81.8
2015,2. Life expectancy at birth by sex,Both Sexes,Years,81.7
2016,2. Life expectancy at birth by sex,Both Sexes,Years,82.1
2017,2. Life expectancy at birth by sex,Both Sexes,Years,82.0
2018,2. Life expectancy at birth by sex,Both Sexes,Years,82.1
2019,2. Life expectancy at birth by sex,Both Sexes,Years,82.4
2020,2. Life expectancy at birth by sex,Both Sexes,Years,81.9
2021,2. Life expectancy at birth by sex,Both Sexes,Years,82.0
2022,2. Life expectancy at birth by sex,Both Sexes,Years,82.1
2023,2. Life expectancy at birth by sex,Both Sexes,Years,83.1
2024,2. Life expectancy at birth by sex,Both Sexes,Years,83.0
2012,2. Life expectancy at birth by sex,Females,Years,83.0
2013,2. Life expectancy at birth by sex,Females,Years,84.0
2014,2. Life expectancy at birth by sex,Females,Years,83.9
2015,2. Life expectancy at birth by sex,Females,Years,83.8
2016,2. Life expectancy at birth by sex,Females,Years,83.9
2017,2. Life expectancy at birth by sex,Females,Years,84.1
2018,2. Life expectancy at birth by sex,Females,Years,84.1
2019,2. Life expectancy at birth by sex,Females,Years,83.9
2020,2. Life expectancy at birth by sex,Females,Years,84.1
2021,2. Life expectancy at birth by sex,Females,Years,83.7
2022,2. Life expectancy at birth by sex,Females,Years,84.2
2023,2. Life expectancy at birth by sex,Females,Years,84.8
2024,2. Life expectancy at birth by sex,Females,Years,84.8
2012,2. Life expectancy at birth by sex,Males,Years,78.6
2013,2. Life expectancy at birth by sex,Males,Years,79.5
2014,2. Life expectancy at birth by sex,Males,Years,79.5
2015,2. Life expectancy at birth by sex,Males,Years,79.6
2016,2. Life expectancy at birth by sex,Males,Years,80.2
2017,2. Life expectancy at birth by sex,Males,Years,79.9
2018,2. Life expectancy at birth by sex,Males,Years,80.0
2019,2. Life expectancy at birth by sex,Males,Years,80.7
2020,2. Life expectancy at birth by sex,Males,Years,79.8
2021,2. Life expectancy at birth by sex,Males,Years,80.3
2022,2. Life expectancy at birth by sex,Males,Years,80.1
2023,2. Life expectancy at birth by sex,Males,Years,81.4
2024,2. Life expectancy at birth by sex,Males,Years,81.2
2010,3. Healthy life years at age 65 by sex,Both Sexes,Years,11.9
2011,3. Healthy life years at age 65 by sex,Both Sexes,Years,11.4
2012,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.4
2013,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.8
2014,3. Healthy life years at age 65 by sex,Both Sexes,Years,13.5
2015,3. Healthy life years at age 65 by sex,Both Sexes,Years,13.7
2016,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.9
2017,3. Healthy life years at age 65 by sex,Both Sexes,Years,13.9
2018,3. Healthy life years at age 65 by sex,Both Sexes,Years,14.3
2019,3. Healthy life years at age 65 by sex,Both Sexes,Years,14.8
2020,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.8
2021,3. Healthy life years at age 65 by sex,Both Sexes,Years,11.9
2022,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.1
2023,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.5
2024,3. Healthy life years at age 65 by sex,Both Sexes,Years,12.2
2010,3. Healthy life years at age 65 by sex,Females,Years,11.7
2011,3. Healthy life years at age 65 by sex,Females,Years,11.0
2012,3. Healthy life years at age 65 by sex,Females,Years,12.3
2013,3. Healthy life years at age 65 by sex,Females,Years,12.7
2014,3. Healthy life years at age 65 by sex,Females,Years,13.8
2015,3. Healthy life years at age 65 by sex,Females,Years,13.9
2016,3. Healthy life years at age 65 by sex,Females,Years,12.9
2017,3. Healthy life years at age 65 by sex,Females,Years,14.2
2018,3. Healthy life years at age 65 by sex,Females,Years,14.5
2019,3. Healthy life years at age 65 by sex,Females,Years,15.1
2020,3. Healthy life years at age 65 by sex,Females,Years,13.0
2021,3. Healthy life years at age 65 by sex,Females,Years,11.6
2022,3. Healthy life years at age 65 by sex,Females,Years,12.0
2023,3. Healthy life years at age 65 by sex,Females,Years,12.0
2024,3. Healthy life years at age 65 by sex,Females,Years,12.2
2010,3. Healthy life years at age 65 by sex,Males,Years,12.0
2011,3. Healthy life years at age 65 by sex,Males,Years,11.8
2012,3. Healthy life years at age 65 by sex,Males,Years,12.5
2013,3. Healthy life years at age 65 by sex,Males,Years,12.8
2014,3. Healthy life years at age 65 by sex,Males,Years,13.2
2015,3. Healthy life years at age 65 by sex,Males,Years,13.3
2016,3. Healthy life years at age 65 by sex,Males,Years,12.8
2017,3. Healthy life years at age 65 by sex,Males,Years,13.6
2018,3. Healthy life years at age 65 by sex,Males,Years,14.0
2019,3. Healthy life years at age 65 by sex,Males,Years,14.4
2020,3. Healthy life years at age 65 by sex,Males,Years,12.6
2021,3. Healthy life years at age 65 by sex,Males,Years,12.2
2022,3. Healthy life years at age 65 by sex,Males,Years,12.2
2023,3. Healthy life years at age 65 by sex,Males,Years,13.1
2024,3. Healthy life years at age 65 by sex,Males,Years,12.5
