Year,Sex,Education Level,Value
2010,Both Sexes,Primary,98.2
2010,Females,Primary,98.1
2010,Males,Primary,98.3
2010,Both Sexes,Lower Secondary,98.1
2010,Females,Lower Secondary,98.0
2010,Males,Lower Secondary,98.2
2010,Both Sexes,Upper Secondary,66.1
2010,Females,Upper Secondary,71.8
2010,Males,Upper Secondary,60.6
2011,Both Sexes,Lower Secondary,98.1
2011,Females,Lower Secondary,97.9
2011,Males,Lower Secondary,98.2
2011,Both Sexes,Primary,98.2
2011,Females,Primary,98.0
2011,Males,Primary,98.3
2011,Both Sexes,Upper Secondary,67.9
2011,Females,Upper Secondary,73.6
2011,Males,Upper Secondary,62.4
2012,Both Sexes,Lower Secondary,98.0
2012,Females,Lower Secondary,97.9
2012,Males,Lower Secondary,98.1
2012,Both Sexes,Primary,98.1
2012,Females,Primary,98.0
2012,Males,Primary,98.2
2012,Both Sexes,Upper Secondary,69.6
2012,Females,Upper Secondary,75.3
2012,Males,Upper Secondary,64.2
2013,Both Sexes,Lower Secondary,98.0
2013,Females,Lower Secondary,97.9
2013,Males,Lower Secondary,98.1
2013,Both Sexes,Primary,98.0
2013,Females,Primary,97.9
2013,Males,Primary,98.1
2013,Both Sexes,Upper Secondary,71.3
2013,Females,Upper Secondary,77.0
2013,Males,Upper Secondary,66.0
2014,Both Sexes,Lower Secondary,98.0
2014,Females,Lower Secondary,97.9
2014,Males,Lower Secondary,98.0
2014,Both Sexes,Primary,98.0
2014,Females,Primary,97.9
2014,Males,Primary,98.1
2014,Both Sexes,Upper Secondary,72.6
2014,Females,Upper Secondary,78.3
2014,Males,Upper Secondary,67.4
2015,Both Sexes,Lower Secondary,97.9
2015,Females,Lower Secondary,97.9
2015,Males,Lower Secondary,98.0
2015,Both Sexes,Primary,98.0
2015,Females,Primary,97.8
2015,Males,Primary,98.1
2015,Both Sexes,Upper Secondary,73.7
2015,Females,Upper Secondary,79.5
2015,Males,Upper Secondary,68.7
2016,Both Sexes,Lower Secondary,97.8
2016,Females,Lower Secondary,97.8
2016,Males,Lower Secondary,97.9
2016,Both Sexes,Primary,98.0
2016,Females,Primary,97.9
2016,Males,Primary,98.1
2016,Both Sexes,Upper Secondary,74.7
2016,Females,Upper Secondary,80.3
2016,Males,Upper Secondary,69.8
2017,Both Sexes,Lower Secondary,97.8
2017,Females,Lower Secondary,97.8
2017,Males,Lower Secondary,97.8
2017,Both Sexes,Primary,98.0
2017,Females,Primary,97.9
2017,Males,Primary,98.1
2017,Both Sexes,Upper Secondary,75.7
2017,Females,Upper Secondary,81.3
2017,Males,Upper Secondary,70.9
2018,Both Sexes,Lower Secondary,97.8
2018,Females,Lower Secondary,97.8
2018,Males,Lower Secondary,97.8
2018,Both Sexes,Primary,98.0
2018,Females,Primary,97.9
2018,Males,Primary,98.1
2018,Both Sexes,Upper Secondary,76.7
2018,Females,Upper Secondary,82.4
2018,Males,Upper Secondary,72.0
2019,Both Sexes,Lower Secondary,97.8
2019,Females,Lower Secondary,97.8
2019,Males,Lower Secondary,97.8
2019,Both Sexes,Primary,98.0
2019,Females,Primary,97.9
2019,Males,Primary,98.1
2019,Both Sexes,Upper Secondary,77.9
2019,Females,Upper Secondary,83.6
2019,Males,Upper Secondary,73.0
2020,Both Sexes,Lower Secondary,97.9
2020,Females,Lower Secondary,97.9
2020,Males,Lower Secondary,97.8
2020,Both Sexes,Primary,98.0
2020,Females,Primary,97.9
2020,Males,Primary,98.1
2020,Both Sexes,Upper Secondary,78.9
2020,Females,Upper Secondary,84.7
2020,Males,Upper Secondary,73.8
2021,Both Sexes,Lower Secondary,97.9
2021,Females,Lower Secondary,97.9
2021,Males,Lower Secondary,97.9
2021,Both Sexes,Primary,98.1
2021,Females,Primary,98.0
2021,Males,Primary,98.1
2021,Both Sexes,Upper Secondary,80.0
2021,Females,Upper Secondary,85.8
2021,Males,Upper Secondary,74.8
2022,Both Sexes,Lower Secondary,98.0
2022,Females,Lower Secondary,98.0
2022,Males,Lower Secondary,97.9
2022,Both Sexes,Primary,98.1
2022,Females,Primary,98.0
2022,Males,Primary,98.2
2022,Both Sexes,Upper Secondary,81.1
2022,Females,Upper Secondary,87.0
2022,Males,Upper Secondary,75.7
2023,Both Sexes,Lower Secondary,98.0
2023,Females,Lower Secondary,98.0
2023,Males,Lower Secondary,98.0
2023,Both Sexes,Primary,98.1
2023,Females,Primary,98.0
2023,Males,Primary,98.2
2023,Both Sexes,Upper Secondary,82.2
2023,Females,Upper Secondary,88.1
2023,Males,Upper Secondary,76.8
