Year,Series,Education level,Value
2010,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2010,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2010,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.2
2011,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.2
2011,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2011,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2012,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2012,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2012,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2013,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2013,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2013,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2014,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2014,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2014,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2015,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2015,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2015,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2016,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2016,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2016,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2017,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2017,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2017,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2018,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2018,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2018,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2019,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2019,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2019,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2020,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2020,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2020,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2021,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2021,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2021,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2022,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2022,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2022,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2023,"1. Adjusted gender parity index for completion rate, by education level",Lower secondary,1.0
2023,"1. Adjusted gender parity index for completion rate, by education level",Primary,1.0
2023,"1. Adjusted gender parity index for completion rate, by education level",Upper secondary,1.1
2011,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2012,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2013,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2014,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2015,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2016,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2017,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2018,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2019,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2020,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2021,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2022,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
2023,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age),,1.0
