Year,Series,Age,Sex,Value
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Both Sexes,95.3
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Both Sexes,96.3
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Both Sexes,97.4
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Both Sexes,96.4
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Both Sexes,96.6
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Females,94.1
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Females,95.6
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Females,97.0
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Females,95.3
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Females,96.1
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Males,96.6
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Males,97.1
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Males,97.8
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Males,97.6
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15+,Males,97.0
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15-24,Both Sexes,88.7
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15-24,Both Sexes,87.3
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15-24,Both Sexes,97.5
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15-24,Both Sexes,94.4
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,15-24,Both Sexes,96.1
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25+,Both Sexes,96.6
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25+,Both Sexes,97.4
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25+,Both Sexes,97.3
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25+,Both Sexes,96.8
2024,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25+,Both Sexes,96.6
2011,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider,,,97.6
2014,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider,,,98.1
2017,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider,,,98.3
2021,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider,,,97.5
2024,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider,,,98.4
2011,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider,,,93.3
2014,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider,,,94.7
2017,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider,,,96.0
2021,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider,,,94.7
2024,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider,,,93.1
