Year,Series,Sex,Migratory Status,Value
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,1.12
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,16.47
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,3.36
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,0.45
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,0.55
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,0.53
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,6.12
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,1.68
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,1.18
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,0.52
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,3.27
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,4.38
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,2.08
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,2.68
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,1.53
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,8.17
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,3.34
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,1626.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,1083.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,1547.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,1443.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,941.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,1547.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,1432.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,1098.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,1363.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,1278.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,1053.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,1349.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,939.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,891.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,756.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,716.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,863.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,917.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,2.7
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,3.3
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,5.1
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Non-Migrant,524.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,Migrants,528.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Both Sexes,All Migratory Statuses,525.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.0
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0.0
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,1.31
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.94
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.0
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,814.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,705.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,831.0
