Year,Value,Units,Series
2015,72.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2016,73.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2017,76.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2018,79.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2019,83.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2020,85.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2021,86.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2022,86.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2023,88.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
2024,93.0,Thousand Persons,Persons at risk of monetary poverty after social transfers
