Year,Value,Series
2010,58.9,Total
2011,58.3,Total
2012,58.0,Total
2013,59.0,Total
2014,58.1,Total
2015,56.7,Total
2016,59.5,Total
2017,59.5,Total
2018,56.1,Total
2019,56.7,Total
2020,53.8,Total
2021,52.6,Total
2022,51.9,Total
2023,52.0,Total
2010,12.7,Education
2011,12.6,Education
2012,12.4,Education
2013,12.5,Education
2014,12.3,Education
2015,12.3,Education
2016,13.1,Education
2017,12.6,Education
2018,12.7,Education
2019,13.0,Education
2020,11.7,Education
2021,11.7,Education
2022,11.7,Education
2023,11.3,Education
2010,12.8,Health
2011,12.9,Health
2012,12.9,Health
2013,13.6,Health
2014,13.9,Health
2015,14.1,Health
2016,14.7,Health
2017,15.1,Health
2018,14.3,Health
2019,14.6,Health
2020,15.7,Health
2021,15.4,Health
2022,14.3,Health
2023,14.1,Health
2010,33.4,Social protection
2011,32.8,Social protection
2012,32.7,Social protection
2013,32.8,Social protection
2014,31.9,Social protection
2015,30.3,Social protection
2016,31.6,Social protection
2017,31.8,Social protection
2018,29.2,Social protection
2019,29.0,Social protection
2020,26.4,Social protection
2021,25.5,Social protection
2022,26.0,Social protection
2023,26.6,Social protection
