Year,Value,Series
2010,13.8,"Total assistance for development, by donor countries"
2011,20.0,"Total assistance for development, by donor countries"
2012,18.6,"Total assistance for development, by donor countries"
2013,18.3,"Total assistance for development, by donor countries"
2014,20.4,"Total assistance for development, by donor countries"
2015,16.6,"Total assistance for development, by donor countries"
2016,20.6,"Total assistance for development, by donor countries"
2017,25.0,"Total assistance for development, by donor countries"
2018,32.9,"Total assistance for development, by donor countries"
2019,41.0,"Total assistance for development, by donor countries"
2020,53.4,"Total assistance for development, by donor countries"
2021,52.2,"Total assistance for development, by donor countries"
2022,60.2,"Total assistance for development, by donor countries"
2023,65.7,"Total assistance for development, by donor countries"
2024,60.9,"Total assistance for development, by donor countries"
