Year,Value,Series
2015,4.09,Ecological footprint per person
2016,4.35,Ecological footprint per person
2017,4.73,Ecological footprint per person
2018,4.76,Ecological footprint per person
2019,4.36,Ecological footprint per person
2020,4.02,Ecological footprint per person
2021,4.01,Ecological footprint per person
2022,3.72,Ecological footprint per person
2015,0.58,Biocapacity per person
2016,0.57,Biocapacity per person
2017,0.56,Biocapacity per person
2018,0.51,Biocapacity per person
2019,0.5,Biocapacity per person
2020,0.48,Biocapacity per person
2021,0.47,Biocapacity per person
2022,0.47,Biocapacity per person
2015,-3.51,Biocapacity deficit
2016,-3.78,Biocapacity deficit
2017,-4.17,Biocapacity deficit
2018,-4.25,Biocapacity deficit
2019,-3.87,Biocapacity deficit
2020,-3.53,Biocapacity deficit
2021,-3.54,Biocapacity deficit
2022,-3.25,Biocapacity deficit
