Year,Value,Units
2010,10.8,Percentage (%)
2011,12.1,Percentage (%)
2012,12.4,Percentage (%)
2013,12.5,Percentage (%)
2014,12.2,Percentage (%)
2015,11.4,Percentage (%)
2016,11.1,Percentage (%)
2017,10.0,Percentage (%)
2018,12.5,Percentage (%)
2019,14.2,Percentage (%)
2020,12.1,Percentage (%)
2021,10.2,Percentage (%)
2022,10.3,Percentage (%)
2023,7.6,Percentage (%)
2010,16075.0,Number of households
2011,18225.0,Number of households
2012,18894.0,Number of households
2013,19700.0,Number of households
2014,19808.0,Number of households
2015,19230.0,Number of households
2016,19398.0,Number of households
2017,17927.0,Number of households
2018,23487.0,Number of households
2019,27830.0,Number of households
2020,25083.0,Number of households
2021,21368.0,Number of households
2022,21774.0,Number of households
2023,16733.0,Number of households
