Year,Value,Series
2017,15.9,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2018,16.4,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2019,18.2,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2020,11.9,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2021,13.7,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2022,13.4,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2023,11.3,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli)
2017,43.3,Methicillin-Resistant Staphylococcus Aureus (MRSA)
2018,36.4,Methicillin-Resistant Staphylococcus Aureus (MRSA)
2019,22.1,Methicillin-Resistant Staphylococcus Aureus (MRSA)
2020,19.6,Methicillin-Resistant Staphylococcus Aureus (MRSA)
2021,20.4,Methicillin-Resistant Staphylococcus Aureus (MRSA)
2022,19.9,Methicillin-Resistant Staphylococcus Aureus (MRSA)
2023,14.5,Methicillin-Resistant Staphylococcus Aureus (MRSA)
