Year,Value,Series
2011,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2012,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2013,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2014,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2015,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2016,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2017,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2018,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2019,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2020,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2021,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2022,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
2023,1.0,2. Adjusted gender parity index for participation rate in organised learning (one year before the official primary entry age)
